"Order  #","Ext","Customer Code","Ship To","Ship To Name","Location","Customer PO No","Carrier","FOB","Attention","Tax Code","Terms","Currency","Total Order Amt","Total Tax","Total Discount","Freight Amt","Total Invoice","Invoice No","Invoice Date","Enter Date","Sch Ship Date","Ship Date","Status","Who Enter","Blanket","Multiple Ship To","Customer Name (from master)"
"1971545","0","C0002572","13033DL","Correspondence-PNG","DAL","6892318","Kubra","DEST","","E","N0","USD","1.68","0","0","0","1.68","INV0216725","2025-08-30","2025-08-01 1:28","2025-08-01 1:28","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1971544","0","C0002572","13033DL","Correspondence-PNG","DAL","6892317","Kubra","DEST","","E","N0","USD","1.68","0","0","0","1.68","INV0216725","2025-08-30","2025-08-01 1:28","2025-08-01 1:28","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1971531","0","C0002572","13033DL","Correspondence-PNG","DAL","6892299","Kubra","DEST","","E","N0","USD","3.56","0","0","0","3.56","INV0216725","2025-08-30","2025-08-01 1:23","2025-08-01 1:23","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1971530","0","C0002572","13033DL","Correspondence-PNG","DAL","6892298","Kubra","DEST","","E","N0","USD","5.82","0","0","0","5.82","INV0216725","2025-08-30","2025-08-01 1:22","2025-08-01 1:22","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1971528","0","C0002572","13033DL","Correspondence-PNG","DAL","6892296","Kubra","DEST","","E","N0","USD","34.05","0","0","0","34.05","INV0216725","2025-08-30","2025-08-01 1:21","2025-08-01 1:21","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1971526","0","C0002572","13033DL","Correspondence-PNG","DAL","6892294","Kubra","DEST","","E","N0","USD","2.67","0","0","0","2.67","INV0216725","2025-08-30","2025-08-01 1:20","2025-08-01 1:20","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1971525","0","C0002572","13026DL","Bills-PNG","DAL","6892293","Kubra","DEST","","E","N0","USD","211.61","0","0","0","211.61","INV0216724","2025-08-30","2025-08-01 1:19","2025-08-01 1:19","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1971523","0","C0002572","13026DL","Bills-PNG","DAL","6892291","Kubra","DEST","","E","N0","USD","128.39","0","0","0","128.39","INV0216724","2025-08-30","2025-08-01 1:18","2025-08-01 1:18","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1971707","0","C0002574","13076NC","Invoice","NYC","6892672","Kubra","DEST","","E","N0","USD","9.46","0","0","0","9.46","INV0217418","2025-09-03","2025-08-01 5:21","2025-08-01 5:21","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy Virginia"
"1971706","0","C0002574","13076NC","Invoice","NYC","6892671","Kubra","DEST","","E","N0","USD","1254.99","0","0","0","1254.99","INV0217418","2025-09-03","2025-08-01 5:21","2025-08-01 5:21","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy Virginia"
