Order No,Order Ext,Line No,Location,Part No,Description,Uom,Ordered,Shipped,Price,Ext Price,Status,Sch Ship Date,Req Ship Date,Forwarder Key
1972040,0,26,LA,IX31704,LA - i-doxs Remittance Fee Approved - IVR,EA,86293,86293,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,27,LA,IX31752,LA - i-doxs elockbox Fee Approved - VBS,EA,1175106,1175106,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,28,LA,IX31754,LA - i-doxs elockbox Fee Approved - IVR,EA,86293,86293,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,29,LA,IX3201,LA - i-doxs Payment Fee,EA,1344643,1344643,0.065,87401.795,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,30,LA,IX3202,LA - i-doxs Payment Fee - VBS,EA,1250871,1250871,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,31,LA,IX3203,LA - i-doxs Payment Fee - CSR,EA,3569,3569,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,32,LA,IX3204,LA - i-doxs Payment Fee - IVR,EA,90203,90203,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,33,LA,IX3218,LA - i-doxs Payment Fee - IVR_CC_AX,EA,1599,1599,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,34,LA,IX3220,LA - i-doxs Payment Fee - IVR_CC_MC,EA,27325,27325,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,35,LA,IX3221,LA - i-doxs Payment Fee - IVR_CC_VI,EA,61279,61279,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,36,LA,IX3238,LA - i-doxs Payment Fee - ONE_CC_AX,EA,20,20,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,37,LA,IX3239,LA - i-doxs Payment Fee - ONE_CC_DI,EA,3,3,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,38,LA,IX3240,LA - i-doxs Payment Fee - ONE_CC_MC,EA,37,37,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,39,LA,IX3241,LA - i-doxs Payment Fee - ONE_CC_VI,EA,107,107,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,40,LA,IX3267,LA - i-doxs Payment Fee - VBS_ACH_ECP,EA,538091,538091,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,41,LA,IX3268,LA - i-doxs Payment Fee - VBS_CC_AX,EA,55141,55141,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,42,LA,IX3269,LA - i-doxs Payment Fee - VBS_CC_DI,EA,11492,11492,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
