Order  #,Ext,Customer Code,Ship To,Ship To Name,Location,Customer PO No,Carrier,FOB,Attention,Tax Code,Terms,Currency,Total Order Amt,Total Tax,Total Discount,Freight Amt,Total Invoice,Invoice No,Invoice Date,Enter Date,Sch Ship Date,Ship Date,Status,Who Enter,Blanket,Multiple Ship To,,,,,,,,,,,,,,,,,,,,,,
1795941,0,C0000628,88LA,Invoice,LA,6403021,KUBRA,DEST,,E9,N0,USD,97.7,6.8,0,0,104.5,INV0204311,2024-07-02,2024-06-07 9:30,2024-06-07 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1795410,0,C0000628,88LA,Invoice,LA,6401488,KUBRA,DEST,,E9,N0,USD,63.65,4.36,0,0,68.01,INV0204311,2024-07-02,2024-06-06 9:31,2024-06-06 9:31,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1794730,0,C0000628,88LA,Invoice,LA,6399755,KUBRA,DEST,,E9,N0,USD,80.25,5.4,0,0,85.65,INV0204311,2024-07-02,2024-06-05 9:33,2024-06-05 9:33,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1794209,0,C0000628,88LA,Invoice,LA,6398229,KUBRA,DEST,,E9,N0,USD,95.36,6.63,0,0,101.99,INV0204311,2024-07-02,2024-06-04 9:30,2024-06-04 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1793636,0,C0000628,88LA,Invoice,LA,6396707,KUBRA,DEST,,E9,N0,USD,90.68,6.28,0,0,96.96,INV0204311,2024-07-02,2024-06-03 9:30,2024-06-03 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1804641,0,C0000691,268DL,Bills,DAL,5012323,KUBRA,DEST,,E14,N0,USD,450,37.13,0,0,487.13,INV0203700,2024-07-02 1:21,2024-07-01 0:51,2024-06-30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1795027,0,C0000691,268DL,Bills,DAL,6400489,KUBRA,DEST,,E14,N0,USD,195,16.09,0,0,211.09,INV0204138,2024-07-02,2024-06-05 22:23,2024-06-05 22:23,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1804158,0,C0000697,3519DL,Billv2,DAL,6427829,Kubra,DEST,,E,N0,USD,7.16,0,0,0,7.16,INV0204230,2024-07-02,2024-06-28 15:31,2024-06-28 15:31,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1804138,0,C0000697,3519DL,Billv2,DAL,6427772,Kubra,DEST,,E,N0,USD,4041.07,0,0,0,4041.07,INV0204230,2024-07-02,2024-06-28 14:01,2024-06-28 14:01,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1804089,0,C0000697,3512DL,Notice,DAL,6427644,Kubra,DEST,,E,N0,USD,30.11,0,0,0,30.11,INV0204147,2024-07-02,2024-06-28 11:01,2024-06-28 11:01,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
